loc_id,loc_internal_id,loc_source_url,loc_active,loc_lat_game,loc_lng_game,loc_lat_key,loc_lng_key,loc_distance_key,loc_key_buffer,loc_image_url,geoid,loc_city,loc_state,loc_country
37,geo36066072,https://www.airbnb.com/rooms/36066072,1,35.582255,-82.578070,35.581273,-82.579228,151,40,https://a0.muscache.com/im/pictures/miso/Hosting-36066072/original/c7445e75-b370-466f-aa6e-c68f4ed50256.jpeg,,Asheville,NC,US
38,geo11457449,https://www.airbnb.com/rooms/11457449,1,22.205009,-159.494992,22.204650,-159.495729,86,40,https://a0.muscache.com/im/pictures/prohost-api/Hosting-11457449/original/a3ceb101-cbb2-483b-82e8-59f0382be231.jpeg,,Hanalei,HI,US
39,geo15604365,https://www.airbnb.com/rooms/15604365,1,22.205983,-159.497007,22.205130,-159.496527,107,40,https://a0.muscache.com/im/pictures/prohost-api/Hosting-15604365/original/23819799-6717-4130-b5de-7c0a9a5e6b30.jpeg,,Hanalei,HI,US
40,geo32550844,https://www.airbnb.com/rooms/32550844,1,41.746035,-124.173981,41.745586,-124.174869,89,40,https://a0.muscache.com/im/pictures/prohost-api/Hosting-32550844/original/f5fc8386-f7d7-496c-bcbb-51311e3d0ab6.jpeg,,Crescent City,CA,US
41,geo34680685,https://www.airbnb.com/rooms/34680685,1,33.605968,-117.896040,33.606738,-117.896311,89,40,https://a0.muscache.com/im/pictures/prohost-api/Hosting-34680685/original/14a982c4-6ca2-481b-a988-189e95945f3b.jpeg,,Newport Beach,CA,US
42,geo35572270,https://www.airbnb.com/rooms/35572270,1,34.871965,-111.806003,34.871493,-111.806779,88,40,https://a0.muscache.com/im/pictures/prohost-api/Hosting-35572270/original/2e7210a2-858f-4a21-b1d4-a3e24d231d2f.jpeg,,Sedona,AZ,US
43,geo35712359,https://www.airbnb.com/rooms/35712359,1,32.682028,-79.890962,32.681265,-79.891737,112,40,https://a0.muscache.com/im/pictures/prohost-api/Hosting-35712359/original/ba3f815a-cf47-4054-9dc2-ee8b98aef72b.jpeg,,Folly Beach,SC,US
44,geo35877926,https://www.airbnb.com/rooms/35877926,1,33.618967,-117.937042,33.619242,-117.937716,69,40,https://a0.muscache.com/im/pictures/prohost-api/Hosting-35877926/original/5314faee-ec4c-44c6-a7db-9e25fd92560d.jpeg,,Newport Beach,CA,US
45,geo36038381,https://www.airbnb.com/rooms/36038381,1,33.191032,-117.374978,33.192495,-117.373932,190,40,https://a0.muscache.com/im/pictures/prohost-api/Hosting-36038381/original/3fbf6417-0c9d-4cee-9ccd-3a09dff17736.jpeg,,Oceanside,CA,US
46,geo35931900,https://www.airbnb.com/rooms/35931900,1,45.018999,-93.230012,45.018630,-93.229655,49,40,https://a0.muscache.com/im/pictures/d93f4134-9636-4ae4-be0f-90865358ffcb.jpg,,Minneapolis,MN,US
47,geo36395627,https://www.airbnb.com/rooms/36395627,1,37.876952,-122.289007,37.876040,-122.289152,108,40,https://a0.muscache.com/im/pictures/miso/Hosting-36395627/original/1c235eac-b98a-43cb-a089-91c5ffdbd059.jpeg,,Berkeley,CA,US
48,geo28961689,https://www.airbnb.com/rooms/28961689,1,36.928832,-76.199152,36.928323,-76.201125,179,40,https://a0.muscache.com/im/pictures/prohost-api/Hosting-28961689/original/4a75b1a7-db7d-40c4-b437-54055504fa69.jpeg,,Norfolk,VA,US
49,geo36075649,https://www.airbnb.com/rooms/36075649,1,29.513981,-98.541011,29.513503,-98.541762,92,40,https://a0.muscache.com/im/pictures/7bafe551-519a-430b-876b-47ea31875e0f.jpg,,San Antonio,TX,US
50,geo35996798,https://www.airbnb.com/rooms/35996798,1,33.334994,-105.694004,33.335685,-105.693233,104,40,https://a0.muscache.com/im/pictures/d0bfe4d7-1018-412c-9adf-da187a4c96e4.jpg,,Ruidoso,NM,US
