"id","loc_internal_id","loc_playable","loc_removed","loc_url_source","loc_url_valid","loc_view_coor","loc_view_lat","loc_view_lng","loc_key_lat","loc_key_lng","loc_key_coor","loc_key_shp","loc_key_shp_valid","loc_image_source","loc_image_valid","geoid","loc_city","loc_state","loc_country","loc_date_add","loc_date_updated"
16,geo34533960,true,false,https://www.airbnb.com/rooms/34533960,true,POINT (-80.168 25.689),"25.689",-80.168,"25.68998",-80.16812,POINT (-80.16812 25.68998),"POLYGON ((-80.16819593140436 25.690049634337964, -80.16800517656495 25.690053259956212, -80.16800249435593 25.689883777753604, -80.16819324919534 25.68987894358903, -80.16819593140436 25.690049634337964))",true,https://a0.muscache.com/im/pictures/80b9f757-9597-47c7-b68d-edae7526ddaf.jpg,true,,Key Biscayne,FL,US,2023-10-13 05:08:01.000 -0500,2023-12-29 11:47:09.329 -0600
17,geo34017217,true,false,https://www.airbnb.com/rooms/34017217,true,POINT (-121.925 36.549),"36.549",-121.925,"36.548959",-121.926345,POINT (-121.926345 36.548959),"POLYGON ((-121.92654418709786 36.549016127401586, -121.926256454024 36.54901235659519, -121.92625578347175 36.54892826828699, -121.92654284599335 36.54893042303587, -121.92654418709786 36.549016127401586))",true,https://a0.muscache.com/im/pictures/80d9efdf-6a80-474d-b37a-7666d0fb27c1.jpg,true,,Carmel-by-the-Sea,CA,US,2023-10-13 05:08:01.000 -0500,2024-01-11 11:28:56.219 -0600
18,geo33909046,true,false,https://www.airbnb.com/rooms/33909046,true,POINT (-80.136 26.01),"26.01",-80.136,"26.00969",-80.135747,POINT (-80.135747 26.00969),"POLYGON ((-80.13580032366174 26.009745757342152, -80.13568697081573 26.009746359980472, -80.1356829475022 26.009623395164475, -80.13579697090047 26.009622792525466, -80.13580032366174 26.009745757342152))",true,https://a0.muscache.com/im/pictures/82569388-23db-4909-8a84-ede56b628dc1.jpg,true,,Hollywood,FL,US,2023-10-13 05:08:01.000 -0500,2024-01-11 11:29:48.311 -0600
19,geo35118580,true,false,https://www.airbnb.com/rooms/35118580,true,POINT (-117.259 33.086),"33.086",-117.259,"33.084774",-117.260068,POINT (-117.260068 33.084774),"POLYGON ((-117.26015328507886 33.0848460191061, -117.260000819832 33.08484377178205, -117.26000149038425 33.08470984652755, -117.2601526145266 33.08471097019126, -117.26015328507886 33.0848460191061))",true,https://a0.muscache.com/im/pictures/89843992-592f-4771-8b51-cf07dd62f4c3.jpg,true,,Carlsbad,CA,US,2023-10-13 05:08:01.000 -0500,2024-01-03 21:19:48.676 -0600
20,geo35194774,true,false,https://www.airbnb.com/rooms/35194774,true,POINT (-82.318 29.651),"29.651",-82.318,"29.651603",-82.318546,POINT (-82.318546 29.651603),"POLYGON ((-82.31894103884815 29.651703304435014, -82.31873165940355 29.65170272169236, -82.31872428332876 29.651437428175786, -82.31893366277336 29.651438593664196, -82.31894103884815 29.651703304435014))",true,https://a0.muscache.com/im/pictures/959ddd8e-c5ee-41c0-b590-d44a61db3199.jpg,true,,Gainesville,FL,US,2023-10-13 05:08:01.000 -0500,2024-01-11 11:31:19.017 -0600
21,geo22608532,true,false,https://www.airbnb.com/rooms/22608532,true,POINT (-121.923 36.565),"36.565",-121.923,"36.564128",-121.921706,POINT (-121.921706 36.564128),"POLYGON ((-121.92173354126187 36.56423090803098, -121.92159262804965 36.564229292289305, -121.92159262804965 36.56406386977769, -121.92173488236638 36.56406386977769, -121.92173354126187 36.56423090803098))",true,https://a0.muscache.com/im/pictures/ad2e46a5-fe4e-42e7-adbe-f96557e17380.jpg,true,,Carmel-by-the-Sea,CA,US,2023-10-13 05:08:01.000 -0500,2024-01-11 11:31:57.320 -0600
22,geo32134845,true,false,https://www.airbnb.com/rooms/32134845,true,POINT (-97.461 35.193),"35.193",-97.461,"35.192593",-97.460074,POINT (-97.460074 35.192593),"POLYGON ((-97.46010621709453 35.19275358543902, -97.45987618708514 35.19275468141348, -97.4598748153943 35.19264727584595, -97.4599596402544 35.19264588088034, -97.45995729332151 35.19256119170048, -97.46010487599003 35.19255899974633, -97.46010621709453 35.19275358543902))",true,https://a0.muscache.com/im/pictures/badaad91-f59a-45ed-8269-d94bc7baf17e.jpg,true,,Norman,OK,US,2023-10-13 05:08:01.000 -0500,2023-12-28 19:43:01.223 -0600
23,geo35934775,true,false,https://www.airbnb.com/rooms/35934775,true,POINT (-80.738 24.854),"24.854",-80.738,"24.854752",-80.738889,POINT (-80.738889 24.854752),"POLYGON ((-80.73900333943988 24.854804639668522, -80.73882159921789 24.854854531977914, -80.73876393172407 24.85468962524641, -80.73894567194606 24.854637299095515, -80.73900333943988 24.854804639668522))",true,https://a0.muscache.com/im/pictures/baf9b738-7988-40b7-9bbe-9d680fc02a9d.jpg,true,,Islamorada,FL,US,2023-10-13 05:08:01.000 -0500,2023-12-29 12:07:29.333 -0600
24,geo6459861,true,false,https://www.airbnb.com/rooms/6459861,true,POINT (-86.275 42.401),"42.401",-86.275,"42.400259",-86.274862,POINT (-86.274862 42.400259),"POLYGON ((-86.27496420801228 42.40029684277728, -86.27479197849591 42.40029684277728, -86.27479331960042 42.40014192983071, -86.27496420801228 42.40014292017425, -86.27496420801228 42.40029684277728))",true,https://a0.muscache.com/im/pictures/bf331402-e01d-4859-b35c-a08c56b54782.jpg,true,,South Haven,MI,US,2023-10-13 05:08:01.000 -0500,2023-12-29 18:43:16.979 -0600
25,geo35991101,true,false,https://www.airbnb.com/rooms/35991101,true,POINT (-79.785544 32.791845),"32.791845",-79.785544,"32.792592",-79.78733,POINT (-79.78733 32.792592),"POLYGON ((-79.78735870834342 32.7927626927498, -79.78720339102753 32.79267250235063, -79.78730933828362 32.79253066312415, -79.78746599670401 32.79261634414218, -79.78735870834342 32.7927626927498))",true,https://a0.muscache.com/im/pictures/c2b62430-9e8c-47eb-ac65-61f5ed4f62c0.jpg,true,,Isle of Palms,SC,US,2023-10-13 05:08:01.000 -0500,2024-01-11 11:32:29.964 -0600
